"STUDY_NUM","Total CRA Engs","minCRA","Total MSL Engs","minMSL","Total Screens","minScreen","Max Date","Months Active","Min Date","CRA Attribution Window","MSL Attribution Window","ASCENT Eligible"
"1698-301-007",58,2022-08-31,14,2022-01-20,NA,NA,2022-12-12,3073,2022-08-31,NA,NA,FALSE
"1698-302-007",3,2022-09-02,NA,NA,NA,NA,2023-12-04,NA,2022-09-02,NA,NA,FALSE
"1833-201-407",150,2022-08-02,32,2022-11-09,NA,NA,2023-12-04,NA,2022-11-09,NA,NA,FALSE
"1924-703-007",198,2022-09-06,10,2022-11-17,73,2022-06-14,2023-12-04,NA,2022-11-17,NA,NA,FALSE
"1932-702-008",13,2022-09-27,NA,NA,NA,NA,2022-10-27,43,2022-09-27,NA,NA,FALSE
"2029-701-008",29,2023-01-10,NA,NA,188,2022-05-02,2023-09-22,NA,2023-01-10,NA,NA,FALSE
"3070-301-001",167,2022-09-08,4,2022-01-07,NA,NA,2023-12-04,NA,2022-09-08,NA,NA,FALSE
"3101-306-002",22,2023-02-14,NA,NA,NA,NA,2023-04-17,745,2023-02-14,NA,NA,FALSE
"3101-312-002",6,2022-11-01,2,2023-08-10,597,2021-02-19,2022-07-19,1069,2023-08-10,NA,NA,FALSE
"3110-305-002",255,2022-07-21,13,2022-03-23,1188,2022-02-03,2023-12-04,NA,2022-07-21,NA,NA,FALSE
"3110-306-002",96,2022-09-16,1,2022-08-23,400,2022-04-05,2023-12-04,NA,2022-09-16,NA,NA,FALSE
"3112-301-001",184,2022-08-29,2,2023-08-25,256,2021-04-28,2023-12-04,NA,2023-08-25,NA,NA,FALSE
"LIN-MD-64",41,2022-10-19,6,2022-02-08,NA,NA,2023-12-04,4684,2022-10-19,NA,NA,FALSE
"LIN-MD-66",4,2023-05-12,1,2022-02-15,NA,NA,2023-12-04,NA,2023-05-12,NA,NA,FALSE
"M11-617",61,2022-09-07,NA,NA,5,2020-09-16,2023-12-04,NA,2022-09-07,NA,NA,FALSE
