"name","eng","country","region","study","priority","log_avg_sr","se_sr","avg_log_mult","se_mult","CRA_Window","MSL_Window","avg_mult","sortby","display"
"2023 Non-TAP Studies","CRA Window","Overall","Overall","2023 Non-TAP Studies","Overall",-4.82151578094941,0.0188277506898303,0.389067500030781,0.0416545334941458,NA,NA,1.47560415129715,"2023 Non-TAP Studies","2023 Non-TAP Studies"
"2023 Non-TAP Studies","MSL Window","Overall","Overall","2023 Non-TAP Studies","Overall",-4.82151578094941,0.0188277506898303,0.0692324795878206,0.0544831664635554,NA,NA,1.0716853251527,"2023 Non-TAP Studies","2023 Non-TAP Studies"
"2023 TAP Studies","CRA Window","Overall","Overall","2023 TAP Studies","Overall",-4.34524023953721,0.0109917717890355,0.239734558573943,0.0242529304851187,NA,NA,1.27091175291567,"2023 TAP Studies","2023 TAP Studies"
"2023 TAP Studies","MSL Window","Overall","Overall","2023 TAP Studies","Overall",-4.34524023953721,0.0109917717890355,0.104079014195105,0.0281974177847278,NA,NA,1.10968813256626,"2023 TAP Studies","2023 TAP Studies"
"AbbVie Overall","CRA Window","Overall","Overall","AbbVie Overall","Overall",-4.48941570779984,0.00949286278190653,0.277057737894145,0.0209552457282968,NA,NA,1.31924253912212,"AbbVie Overall","AbbVie Overall"
"AbbVie Overall","MSL Window","Overall","Overall","AbbVie Overall","Overall",-4.48941570779984,0.00949286278190653,0.0908613967030615,0.0249951073124752,NA,NA,1.09511720788335,"AbbVie Overall","AbbVie Overall"
"Immunology CRA Engaged","CRA Window","Overall","Overall","Immunology","Overall",NA,NA,0.396649136522034,0.0436248834737911,NA,NA,1.48683416271662,"Immunology","Immunology"
"Immunology MSL Engaged","MSL Window","Overall","Overall","Immunology","Overall",NA,NA,0.229389292364511,0.0534731292979763,NA,NA,1.25783160795175,"Immunology","Immunology"
"Immunology Australia CRA Engaged","CRA Window","Australia","Overall","Immunology","Overall",NA,NA,-0.186998174497252,0.308333391517579,NA,NA,0.829445250538606,"Immunology","Immunology"
"Immunology Australia MSL Engaged","MSL Window","Australia","Overall","Immunology","Overall",NA,NA,0.347877421474499,0.351477641593918,NA,NA,1.41605866071844,"Immunology","Immunology"
"Immunology Canada CRA Engaged","CRA Window","Canada","Overall","Immunology","Overall",NA,NA,0.348571966271388,0.213506869132225,NA,NA,1.41704251852044,"Immunology","Immunology"
"Immunology Canada MSL Engaged","MSL Window","Canada","Overall","Immunology","Overall",NA,NA,0.132650005749307,0.32493791889042,NA,NA,1.14185028735098,"Immunology","Immunology"
"Immunology China CRA Engaged","CRA Window","China","Overall","Immunology","Overall",NA,NA,0.383556163936248,0.261740366196624,NA,NA,1.46749397037206,"Immunology","Immunology"
"Immunology China MSL Engaged","MSL Window","China","Overall","Immunology","Overall",NA,NA,-0.157987425801207,0.300708338117892,NA,NA,0.853860518512881,"Immunology","Immunology"
"Immunology Czechia CRA Engaged","CRA Window","Czechia","Overall","Immunology","Overall",NA,NA,1.16378307392516,0.511399150650447,NA,NA,3.20202388492982,"Immunology","Immunology"
"Immunology Czechia MSL Engaged","MSL Window","Czechia","Overall","Immunology","Overall",NA,NA,-0.538895613408995,0.778892789984747,NA,NA,0.583392187240911,"Immunology","Immunology"
"Immunology France CRA Engaged","CRA Window","France","Overall","Immunology","Overall",NA,NA,-0.60368920240853,0.570609538739695,NA,NA,0.546790689017856,"Immunology","Immunology"
"Immunology France MSL Engaged","MSL Window","France","Overall","Immunology","Overall",NA,NA,1.57525097014139,0.802538211104057,NA,NA,4.8319541421645,"Immunology","Immunology"
