"","STUDY_NUM","month","year","event","cnt","TA_DESC","PHASE","LAST_SUBJECT_SCREENED_DATE","ASCENT_Study"
"1","1491-801-007","Jan",2022,"screens",34,"Eye Care","","2022-01-28","Non-ASCENT"
"2","1491-801-007","Jan",2022,"screens",34,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"3","1491-801-007","Jan",2022,"CRA",NA,"Eye Care","","2022-01-28","Non-ASCENT"
"4","1491-801-007","Jan",2022,"CRA",NA,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"5","1491-801-007","Jan",2022,"MSL",NA,"Eye Care","","2022-01-28","Non-ASCENT"
"6","1491-801-007","Jan",2022,"MSL",NA,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"7","1491-801-007","Oct",2021,"screens",4,"Eye Care","","2022-01-28","Non-ASCENT"
"8","1491-801-007","Oct",2021,"screens",4,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"9","1491-801-007","Oct",2021,"CRA",NA,"Eye Care","","2022-01-28","Non-ASCENT"
"10","1491-801-007","Oct",2021,"CRA",NA,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"11","1491-801-007","Oct",2021,"MSL",NA,"Eye Care","","2022-01-28","Non-ASCENT"
"12","1491-801-007","Oct",2021,"MSL",NA,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"13","1491-801-007","Nov",2021,"screens",6,"Eye Care","","2022-01-28","Non-ASCENT"
"14","1491-801-007","Nov",2021,"screens",6,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"15","1491-801-007","Nov",2021,"CRA",NA,"Eye Care","","2022-01-28","Non-ASCENT"
"16","1491-801-007","Nov",2021,"CRA",NA,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"17","1491-801-007","Nov",2021,"MSL",NA,"Eye Care","","2022-01-28","Non-ASCENT"
"18","1491-801-007","Nov",2021,"MSL",NA,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"19","1491-801-007","Dec",2021,"screens",12,"Eye Care","","2022-01-28","Non-ASCENT"
"20","1491-801-007","Dec",2021,"screens",12,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"21","1491-801-007","Dec",2021,"CRA",NA,"Eye Care","","2022-01-28","Non-ASCENT"
